haltestellen_id,belastung_x,linien_id,linienname,plan_fahrt_id,belastung_y,einsteiger,aussteiger,besetzung,traffic_total,anzahl_messungen,haltestellenlangname,distanz_m,halt_lin_kurz,halt_lin_lang,zonen,vsys,linienname_fahrgastauskunft,koord_wgs84_n,koord_wgs84_e,Quartier
94,2.341648692870037,13,7,5224,0.2620483000405303,7.485192914230019,6.6335390155945415,26.46687830409357,14.118731929824564,8639,"Zürich, Central",383.5058479532164,94-7,"Zürich, Central Linie 7",110.0,T,7,8.543964002903373,47.37680975491613,Central
30,0.73033436075706,72,78,112939,0.3356622222222222,3.201815555555556,6.62429,10.741191111111112,9.826105555555555,283,"Zürich, Baslerstrasse",831.0,30-78,"Zürich, Baslerstrasse Linie 78",110.0,B,78,8.490144461970388,47.38876287180276,Altstetterplatz
116,1.988180190556385,38,703,73859,0.2931438327205882,4.796097593984962,6.522846315789473,9.380602647058824,11.318943909774436,4498,"Zürich, Klusplatz",1128.390977443609,116-703,"Zürich, Klusplatz Linie 703",110.0,BG,703,8.56635100436572,47.36400909000458,Klus
67,0.799528872197484,5,75,3237,0.264605964695256,6.124175984919887,6.489436380772856,12.701086305372293,12.613612365692742,22808,"Zürich, Bahnhof Oerlikon Ost",407.5042412818096,67-75,"Zürich, Bahnhof Oerlikon Ost Linie 75",110.0,B,75,8.546087122891093,47.413345482545004,Tramdepot
257,0.411453837273123,21,5,34099,0.1469460325203252,6.612571463414635,6.486164024390244,13.22514292682927,13.098735487804875,885,"Zürich, Zoo",266.0,257-5,"Zürich, Zoo Linie 5",110.0,T,5,8.571556559418267,47.38157073678912,Zoo
306,1.180580053583149,17,2,71915,0.4331774920546244,6.180508240641712,6.410907652406418,38.9859742849162,12.59141589304813,13619,"Zürich,Kalkbreite/Bhf.Wiedikon",312.88770053475935,306-2,"Zürich,Kalkbreite/Bhf.Wiedikon Linie 2",110.0,T,2,8.52132401058151,47.37442458249569,Wengi
97,2.1163118267061676,28,3,77869,0.2688855796353629,6.235840291021671,6.376770755417956,24.199702167182664,12.612611046439628,14507,"Zürich, Albisriederplatz",276.7058823529412,97-3,"Zürich, Albisriederplatz Linie 3",110.0,T,3,8.510396300947964,47.37821447654032,Bullingerhof
348,0.660024479228814,84,80,76687,0.399557971250241,5.674959506880734,6.367921089449541,19.178782620011567,12.042880596330274,21119,"Zürich, ETH Hönggerberg",541.2133027522935,348-80,"Zürich, ETH Hönggerberg Linie 80",110.0,B,80,8.507709920258362,47.40867857706328,ETH HÃ¶nggerberg
169,1.1309846089549158,29,8,54153,0.283555543689132,8.519670460947502,6.329619654289373,18.71466588348272,14.849290115236876,14460,"Zürich, Bahnhof Stadelhofen",365.15044814340587,169-8,"Zürich, Bahnhof Stadelhofen Linie 8",110.0,T,8,8.548154562800391,47.36628122083064,Bellevue
237,1.6193482668424266,69,744,37888,0.3229403958333333,5.167046333333333,6.3126006666666665,10.334092666666669,11.479647,1783,"Zürich, Bahnhof Stettbach",234.5,237-744,"Zürich, Bahnhof Stettbach Linie 744",110.0,BG,744,8.596133659390068,47.39727557109549,Mattenhof
74,0.9217920690285065,10,9,83194,0.2100706335901266,5.962301061180292,6.272775121819167,17.43586258798051,12.23507618299946,15964,"Zürich, Schwamendingerplatz",496.7395776935571,74-9,"Zürich, Schwamendingerplatz Linie 9",110.0,T,9,8.571887240086872,47.40459505635997,Tulpenstrasse
67,0.799528872197484,31,10,90081,0.2046648321074826,6.082423256840247,6.264621500441306,18.419834889673435,12.347044757281552,9652,"Zürich, Bahnhof Oerlikon Ost",436.4986760812004,67-10,"Zürich, Bahnhof Oerlikon Ost Linie 10",110.0,T,10,8.546087122891093,47.413345482545004,Tramdepot
